U31;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
970001;Head of State;Edvard Benes;1933;1964;LWR;Pig-headed Isolationist;High;2379;X
970002;Head of State;Klement Gottwald;1933;1964;ST;Barking Buffoon;High;M24021;X
970003;Head of State;Antonin Zapotocky;1953;1964;ST;Pig-headed Isolationist;High;M24151;X
970004;Head of Government;Klement Gottwald;1945;1964;ST;Backroom Backstabber;High;M24021;X
970005;Head of Government;Gustav Husak;1933;1964;ST;Political Protege;High;M24022;X
970006;Foreign Minister;Vladimir Clementis;1933;1964;ST;Great Compromiser;Medium;M24023;X
970007;Foreign Minister;Viliam Sirocky;1950;1964;ST;Iron Fisted Brute;Medium;M24153;X
970008;Foreign Minister;Gustav Husak;1941;1964;ST;Biased Intellectual;High;M24022;X
970009;Foreign Minister;Rudolf Slanský;1943;1964;ST;The Cloak N Dagger Schemer;High;M24024;X
970010;Minister of Armament;Bohumil Stepanec;1933;1964;ST;Tank Proponent;Medium;M24079;X
970011;Minister of Armament;Rudolf Slanský;1933;1964;ST;Theoretical Scientist;Medium;M24024;X
970012;Minister of Armament;Ludvik Svoboda;1933;1964;ST;Military Entrepreneur;High;M24027;X
970013;Minister of Armament;Rudolf Slansky;1945;1964;ST;Theoretical Scientist;Medium;M24024;X
970014;Minister of Armament;Alexej Cepicka;1950;1964;ST;Infantry Proponent;Medium;M24155;X
970015;Minister of Security;Prokop Drtina;1933;1964;ST;Man of the People;High;M24025;X
970016;Minister of Security;Kristoph Emmerich;1941;1964;ST;Silent Lawyer;Very High;M24097;X
970017;Minister of Security;Jozef Zeman;1945;1964;ST;Back Stabber;Very High;M24098;X
970018;Minister of Security;Vaclav Nosek;1945;1964;ST;Efficient Sociopath;Very High;M24156;X
970019;Head of Military Intelligence;Zdenek Fierlinger;1933;1964;LWR;Political Specialist;Very High;M24026;X
970020;Head of Military Intelligence;Elias Kohn;1933;1964;ST;Technical Specialist;High;M24041;X
970021;Head of Military Intelligence;Rudolf Slanský;1940;1964;ST;Political Specialist;High;M24024;X
970022;Head of Military Intelligence;Prokop Drtina;1945;1964;ST;Political Specialist;High;M24025;X
970023;Head of Military Intelligence;Alexej Cepicka;1948;1964;ST;Logistics Specialist;High;M24155;X
970024;Head of Military Intelligence;Stefan Rais;1950;1964;ST;Dismal Enigma;High;M24158;X
970025;Chief of Staff;Ludvik Svoboda;1933;1964;ST;School of Mass Combat;High;M24027;X
970026;Chief of Army;Ludvik Svoboda;1933;1964;ST;Static Defence Doctrine;High;M24027;X
970027;Chief of Navy;Klement Gottwald;1933;1964;ST;Base Control Doctrine;High;M24021;X
970028;Chief of Air Force;Jan Prokop;1933;1964;ST;Vertical Envelopment Doctrine;High;M24030;X
970029;Head of State;Antonin Novotny;1953;1976;LE;Benevolent Gentleman;High;M24152;X
970030;Head of Government;Zdenek Fierlinger;1944;1977;LWR;Happy Amateur;Very High;M24026;X
970031;Head of Government;Antonin Zapotocky;1948;1957;ST;Political Protege;High;M24151;X
970032;Head of Government;Viliam Sirocky;1953;1972;ST;Ambitious Union Boss;Very High;M24153;X
970033;Head of Government;Jozef Lenart;1963;2005;LE;Backroom Backstabber;High;M970105;X
