U60;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1115001;Head of State;Walter Davidson;1914;1964;ML;Stern Imperialist;Very High;8285;X
1115002;Head of Government;Edward Morris;1914;1964;ML;Flamboyant Tough Guy;Very High;8286;X
1115003;Foreign Minister;Edward Morris;1914;1964;ML;Great Compromiser;Very High;8286;X
1115004;Minister of Armament;Michael Cashin;1914;1964;ML;Resource Industrialist;Very High;8287;X
1115005;Minister of Security;Richard Squires;1914;1964;SL;Man of the People;Very High;8288;X
1115006;Head of Military Intelligence;Arthur Hadow;1914;1964;ML;Political Specialist;Very High;8289;X
1115007;Chief of Staff;John Bennett;1914;1964;ML;School of Fire Support;Very High;8290;X
1115008;Chief of Army;Arthur Hadow;1914;1964;ML;Decisive Battle Doctrine;Low;8289;X
1115009;Chief of Navy;Under Army Command;1914;1964;ML;Undistinguished Suit;Very High;unknown;X
1115010;Chief of Air Force;Under Army Command;1914;1964;ML;Undistinguished Suit;Very High;unknown;X
1115011;Head of Government;William Coaker;1914;1964;SL;Flamboyant Tough Guy;Very High;8291;X
