U76;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1195001;Head of State;Lewis Valentine;1933;1964;SD;Die-hard Reformer;High;U76-Lewis_Valentine;X
1195002;Head of Government;John Saunders Lewis;1933;1964;SD;Naive Optimist;High;8603;X
1195003;Foreign Minister;Bertrand Russell;1933;1964;SD;Biased Intellectual;Very High;U76-Bertrand_Russell;X
1195004;Minister of Armament;Ifor Davies;1933;1964;SD;Administrative Genius;Very High;U76-Ifor_Davies;X
1195005;Minister of Security;Elizabeth Andrews;1933;1964;SD;Prince of Terror;Very High;U76-Elizabeth_Andrews;X
1195006;Head of Military Intelligence;Jim Griffiths;1933;1964;SD;Political Specialist;Very High;U76-Jim_Griffiths;X
1195007;Chief of Staff;Lewis Pugh Evans;1933;1964;ML;School of Psychology;Very High;8653;X
1195008;Chief of Army;Lewis Pugh Evans;1933;1964;ML;Guns and Butter Doctrine;Very High;8653;X
1195009;Chief of Navy;Sven Hansen;1933;1964;ML;Open Seas Doctrine;Very High;unknownminister;X
1195010;Chief of Air Force;Lionel Rees;1933;1964;ML;Air Superiority Doctrine;Very High;8654;X
1195011;Head of State;Arthur Horner;1933;1964;LE;Die-hard Reformer;High;M1076;X
1195012;Head of Government;Idris Cox;1933;1964;LE;Ambitious Union Boss;High;U76-Idris_Cox;X
1195013;Foreign Minister;T.E. Nicholas;1933;1964;LE;Apologetic Clerk;Very High;U76-Niclas_y_Glas;X
1195014;Minister of Armament;Will Paynter;1933;1964;LE;Planned Economy Proponent;Very High;U76-Will_Paynter;X
1195015;Minister of Security;Goronwy Rees;1933;1964;LE;Back Stabber;Very High;U76-Goronwy_Rees;X
1195016;Head of Military Intelligence;Annie Powell;1933;1964;LE;Political Specialist;Very High;U76-Annie_Powell;X
1195017;Chief of Staff;David Francis;1933;1964;LE;School of Mass Combat;Very High;U76-David_Francis;X
1195018;Chief of Army;David Francis;1933;1964;LE;Decisive Battle Doctrine;Very High;U76-David_Francis;X
1195019;Chief of Navy;David R. Llewellyn;1933;1964;LE;Base Control Doctrine;Very High;unknownminister;X
1195020;Chief of Air Force;David R. Llewellyn;1933;1964;LE;Base Control Doctrine;Very High;unknownminister;X
1195021;Head of State;H.M. Robert I Wittelsbach;1933;1956;SC;Benevolent Gentleman;High;GER-Rupprecht_von_Bayern;X
1195022;Head of State;H.M. Albert I Wittelsbach;1955;1995;SC;Insignificant Layman;High;GER-Albrecht_von_Bayern;X
