U89;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
1260001;Head of State;Marcus Garvey;1920;1941;PA;Powerhungry Demagogue;Undying;U89 - Marcus Garvey;X
1260002;Head of Government;Marcus Garvey;1920;1941;PA;Flamboyant Tough Guy;Undying;U89 - Marcus Garvey;X
1260003;Foreign Minister;Marcus Garvey;1920;1941;PA;Ideological Crusader;Undying;U89 - Marcus Garvey;X
1260004;Minister of Armament;Marcus Garvey;1920;1941;PA;Resource Industrialist;Undying;U89 - Marcus Garvey;X
1260005;Minister of Security;Marcus Garvey;1920;1941;PA;Efficient Sociopath;Undying;U89 - Marcus Garvey;X
1260006;Head of Military Intelligence;Joshua Cockburn;1920;1964;PA;Naval Intelligence Specialist;High;U89 - Joshua Cockburn;X
1260007;Chief of Staff;Hubert Julian;1933;1964;PA;School of Psychology;Medium;U89 - Hubert Julian;X
1260008;Chief of Army;Hubert Julian;1933;1964;PA;Guns and Butter Doctrine;Medium;U89 - Hubert Julian;X
1260009;Chief of Navy;Hubert Julian;1933;1964;PA;Base Control Doctrine;Medium;U89 - Hubert Julian;X
1260010;Chief of Air Force;Hubert Julian;1933;1964;PA;Air Superiority Doctrine;Medium;U89 - Hubert Julian;X
1260011;Chief of Navy;Joshua Cockburn;1920;1964;PA;Open Seas Doctrine;High;U89 - Joshua Cockburn;X
1260012;Head of State;George Padmore;1933;1964;LE;Benevolent Gentleman;High;U89 - George Padmore;X
1260013;Head of Government;George Padmore;1933;1964;LE;Naive Optimist;High;U89 - George Padmore;X
1260014;Foreign Minister;George Padmore;1933;1964;LE;Biased Intellectual;High;U89 - George Padmore;X
1260015;Minister of Armament;George Padmore;1933;1964;LE;Resource Industrialist;Medium;U89 - George Padmore;X
1260016;Head of Military Intelligence;George Padmore;1933;1964;LE;Technical Specialist;Medium;U89 - George Padmore;X
1260017;Minister of Security;George Padmore;1933;1964;LE;Silent Lawyer;Medium;U89 - George Padmore;X
1260018;Minister of Security;Wilfred Adolphus Domingo;1920;1964;LWR;Man of the People;Medium;U89 - Wilfred Adolphus Domingo;X
1260019;Foreign Minister;Cyril Briggs;1920;1964;LE;Ideological Crusader;Very High;U89 - Cyril Briggs;X
1260020;Chief of Army;Ferdinand Christopher Smith;1920;1964;LWR;Guns and Butter Doctrine;High;U89 - Ferdinand Christopher Smith;X
1260021;Chief of Navy;Chris Brathwaite;1920;1945;LE;Decisive Naval Battle Doctrine;Medium;U89 - Chris Brathwaite;X
1260022;Head of Government;Ferdinand Christopher Smith;1920;1964;LWR;Ambitious Union Boss;High;U89 - Ferdinand Christopher Smith;X
1260023;Chief of Navy;Ferdinand Christopher Smith;1920;1964;LWR;Open Seas Doctrine;High;U89 - Ferdinand Christopher Smith;X
1260024;Head of State;Donald Heywood;1930;1964;ML;Autocratic Charmer;High;U89 - Donald Heywood;X
1260025;Head of Government;Donald Heywood;1930;1964;ML;Happy Amateur;High;U89 - Donald Heywood;X
1260026;Foreign Minister;Joel Augustus Rogers;1920;1964;ML;Ideological Crusader;High;U89 - Joel Augustus Rogers;X
1260027;Minister of Armament;Joel Augustus Rogers;1920;1964;ML;Theoretical Scientist;High;U89 - Joel Augustus Rogers;X
1260028;Minister of Security;Donald Heywood;1930;1964;ML;Media magnate;High;U89 - Donald Heywood;X
1260029;Head of Military Intelligence;Joel Augustus Rogers;1920;1964;ML;Dismal Enigma;High;U89 - Joel Augustus Rogers;X
1260030;Minister of Security;James Samuel Watson;1920;1964;SL;Crime Fighter;High;U89 - James Samuel Watson;X
