U18;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
905001;Head of State;Ernst August III;1921;1964;SC;Pig-headed Isolationist;High;U18 - Ernst August III;X
905002;Head of Government;Karl Biester;1933;1964;SC;Naive Optimist;High;U18 - Karl Biester;X
905003;Foreign Minister;Hodo von Hodenberg;1933;1964;SC;Apologetic Clerk;High;U18 - Hodo von Hodenberg;X
905004;Minister of Armament;Carl Borgward;1933;1964;SC;Administrative Genius;High;U18 - Carl Borgward;X
905005;Minister of Security;Arthur Menge;1933;1964;SC;Silent Lawyer;Very High;U18 - Arthur Menge;X
905006;Head of Military Intelligence;Carl Borgward;1933;1964;SC;Technical Specialist;Very High;U18 - Carl Borgward;X
905007;Chief of Staff;Ernst August III;1933;1964;SC;School of Mass Combat;Medium;U18 - Ernst August III;X
905008;Chief of Army;Ernst August III;1933;1964;SC;Decisive Battle Doctrine;Medium;U18 - Ernst August III;X
905009;Chief of Navy;Adolf Ahrens;1933;1964;SC;Indirect Approach Doctrine;Medium;U18 - Adolf Ahrens;X
905010;Chief of Air Force;Under Army Command;1933;1964;SC;Army Aviation Doctrine;Medium;unknownminister;X
905011;Head of Government;Max Brauer;1933;1964;SD;Naive Optimist;High;U18 - Max Brauer;X
