U10;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;X
865001;Head of State;Heber J. Grant;1920;1945;PA;Ruthless Powermonger;Very High;U10 - Heber J Grant;X
865002;Head of State;George Albert Smith;1930;1951;PA;Benevolent Gentleman;High;U10 - George Albert Smith;X
865003;Head of State;George Romney;1948;1993;SC;Benevolent Gentleman;High;U10 - George Romney;X
865004;Head of Government;George Albert Smith;1920;1951;PA;Political Protege;High;U10 - George Albert Smith;X
865005;Head of Government;George Romney;1942;1993;SC;Corporate Suit;High;U10 - George Romney;X
865006;Head of Government;Lemuel A. Garrison;1933;1964;PA;Flamboyant Tough Guy;High;U10 - Lemuel A Garrison;X
865007;Head of Government;Herbert Brown Maw;1933;1964;ML;Silent Workhorse;High;U10 - Herbert Brown Maw;X
865008;Foreign Minister;Wallace F. Bennett;1933;1964;ML;Ideological Crusader;Medium;U10 - Wallace F Bennett;X
865009;Foreign Minister;George Albert Smith;1933;1964;PA;Great Compromiser;High;U10 - George Albert Smith;X
865010;Foreign Minister;Moroni Olsen;1933;1964;SC;Great Compromiser;Medium;U10 - Moroni Olsen;X
865011;Foreign Minister;Charles Guillaume Cramer;1933;1964;LWR;The Cloak N Dagger Schemer;Very High;M8062;X
865012;Foreign Minister;Benjamin Boers;1933;1964;ST;Great Compromiser;Medium;M8040;X
865013;Foreign Minister;Nicolaas Beuzemaker;1933;1964;ST;The Cloak N Dagger Schemer;Very High;M8054;X
865014;Foreign Minister;David Wijnkoop;1933;1964;ST;Biased Intellectual;Low;M8022;X
865015;Foreign Minister;Saul de Groot;1933;1964;ST;Ideological Crusader;Low;M8021;X
865016;Foreign Minister;Willem van Ravesteyn;1933;1964;ST;Apologetic Clerk;Medium;M8023;X
865017;Minister of Armament;Val Browning;1933;1964;SC;Administrative Genius;High;unknownminister;X
865018;Minister of Armament;Marriner S. Eccles;1933;1964;SC;Laissez-Faire Capitalist;Medium;unknownminister;X
865019;Minister of Armament;Johan Albarda;1933;1964;LWR;Laissez-Faire Capitalist;High;M8043;X
865020;Minister of Armament;Jacques de Kadt;1933;1964;LWR;Military Entrepreneur;High;M8081;X
865021;Minister of Armament;Charles Guillaume Cramer;1933;1964;LWR;Air Superiority Proponent;Very High;M8062;X
865022;Minister of Armament;Jan Tinbergen;1933;1964;LWR;Resource Industrialist;Very High;M8084;X
865023;Minister of Armament;Peiter Bergsma;1933;1964;ST;Laissez-Faire Capitalist;Medium;M8102;X
865024;Minister of Armament;Jacques de Kadt;1933;1964;ST;Military Entrepreneur;High;M8081;X
865025;Minister of Armament;Jan Postma;1933;1964;ST;Theoretical Scientist;Low;M8024;X
865026;Minister of Armament;Jacobus Engels;1933;1964;ST;Strategic Air Proponent;High;M8105;X
865027;Minister of Security;Reuben Clark Jr;1933;1964;ML;Crime Fighter;Very High;U10 - Reuben Clark Jr;X
865028;Minister of Security;Floyd Gottfredson;1940;1964;SC;Media magnate;Medium;U10 - Floyd Gottfredson;X
865029;Minister of Security;Samuel Cowley;1933;1964;SC;Crime Fighter;High;U10 - Samuel Cowley;X
865030;Minister of Security;Charles Guillaume Cramer;1933;1964;LWR;Silent Lawyer;Very High;M8062;X
865031;Minister of Security;Johan Brautigam;1933;1964;LWR;Prince of Terror;Medium;M8110;X
865032;Minister of Security;Fokke Bosman;1933;1964;ST;Compassionate Gentleman;High;M8123;X
865033;Minister of Security;Hendrickus Sneevliet;1933;1964;ST;Man of the People;High;M8124;X
865034;Minister of Security;Daniel Goulooze;1933;1964;ST;Crime Fighter;Low;M8025;X
865035;Head of Military Intelligence;Emanuel Boekman;1933;1964;LWR;Dismal Enigma;Very High;M8126;X
865036;Head of Military Intelligence;Harmen de Boer;1933;1964;LWR;Political Specialist;Very High;M8127;X
865037;Head of Military Intelligence;Charles Guillaume Cramer;1933;1964;LWR;Technical Specialist;Very High;M8062;X
865038;Head of Military Intelligence;Jan Lambertus Faber;1933;1964;LWR;Political Specialist;Very High;M8129;X
865039;Head of Military Intelligence;Willem Drees;1933;1964;LWR;Logistics Specialist;Very High;M8130;X
865040;Head of Military Intelligence;Abraham Menist;1933;1964;ST;Political Specialist;High;M8026;X
865041;Head of Military Intelligence;Ina Willekes-MacDonald;1933;1964;ST;Dismal Enigma;Very High;M8141;X
865042;Chief of Staff;Wallace F. Bennett;1933;1964;ML;School of Psychology;High;U10 - Wallace F Bennett;X
865043;Chief of Staff;Briant H. Wells;1933;1938;SC;School of Defence;High;U10 - Briant Harris Wells;X
865044;Chief of Staff;Ray DuChene Free;1943;1964;SC;School of Mass Combat;High;unknownleader;X
865045;Chief of Staff;Jacobus Engels;1933;1964;ST;School of Psychology;High;M8105;X
865046;Chief of Army;Briant H. Wells;1933;1938;SC;Guns and Butter Doctrine;Very High;U10 - Briant Harris Wells;X
865047;Chief of Army;Wendell Schmitt Jr.;1933;1964;FA;Decisive Battle Doctrine;Very High;unknownminister;X
865048;Chief of Army;Anthon Koejemans;1933;1964;ST;Guns and Butter Doctrine;Very High;M8164;X
865049;Chief of Navy;Under Army Command;1933;1964;SC;Base Control Doctrine;Low;unknownminister;X
865050;Chief of Navy;Fokke Bosman;1933;1964;ST;Open Seas Doctrine;High;M8123;X
865051;Chief of Air Force;Russell Maugan;1933;1964;SC;Air Superiority Doctrine;High;U10 - Russell Maughan;X
865052;Chief of Air Force;Orvil A. Anderson;1933;1964;SC;Army Aviation Doctrine;High;unknownminister;X
865053;Chief of Air Force;Julius Zegers;1933;1964;ST;Air Superiority Doctrine;Low;M8030;X
865054;Chief of Army;Bernhard Coltof;1933;1964;LWR;Elastic Defence Doctrine;High;M8142;X
865055;Head of State;Wilhelmina;1933;1964;LWR;Stern Imperialist;Very High;M8001;X
865056;Head of State;Juliana;1933;1964;LWR;Popular Figurehead;High;M8186;X
865057;Head of Government;Willem Drees;1933;1964;LWR;Ambitious Union Boss;High;M8130;X
865058;Foreign Minister;Dirk U. Stikker;1933;1964;LWR;Great Compromiser;Medium;M8189;X
865059;Foreign Minister;Jan Willem Beyen;1933;1964;LWR;Apologetic Clerk;Medium;M8190;X
865060;Minister of Armament;Wim Schokking;1933;1964;LWR;Air to Ground Proponent;Medium;M8191;X
865061;Minister of Armament;Louis de Visser;1933;1964;LE;Theoretical Scientist;Medium;M8192;X
865062;Minister of Armament;Kees Staf;1933;1964;LWR;Resource Industrialist;Medium;M8193;X
865063;Minister of Security;Teun Struiken;1933;1964;LWR;Back Stabber;Medium;M8195;X
865064;Minister of Security;Henrik Mulderije;1933;1964;LWR;Crime Fighter;Medium;M8196;X
